Date,City,State,AreaType,School Type,Fatalities,Wounded,Month,Year,Day of Week,Region,Severity
4/16/2013,Grambling,Louisiana,rural,College,0,3,April,2013,Tuesday,South,Medium
4/18/2013,Cambridge,Massachusetts,urban,College,2,1,April,2013,Thursday,Northeast,Medium
5/14/2013,Birmingham,Alabama,urban,Middle School,0,0,May,2013,Tuesday,South,Low
6/7/2013,Santa Monica,California,urban,College,6,4,June,2013,Friday,West,High
6/20/2013,West Palm Beach,Florida,urban,High School,2,Unknown,June,2013,Thursday,South,Low
8/20/2013,Decatur,Georgia,urban,High School,0,0,August,2013,Tuesday,South,Low
8/23/2013,Sardis,Mississippi,rural,High School,1,2,August,2013,Friday,South,Medium
8/30/2013,Winston-Salem,North Carolina,urban,High School,0,1,August,2013,Friday,South,Low
10/4/2013,Pine Hills,Florida,suburban,High School,0,2,October,2013,Friday,South,Low
10/21/2013,Sparks,Nevada,urban,Middle School,2,2,October,2013,Monday,West,Medium
11/2/2013,Greensboro,North Carolina,urban,College,0,1,November,2013,Saturday,South,Low
11/3/2013,Lithonia,Georgia,urban,High School,0,2,November,2013,Sunday,South,Low
11/13/2013,Pittsburgh,Pennsylvania,urban,High School,0,3,November,2013,Wednesday,Northeast,Medium
12/4/2013,Winter Garden,Florida,suburban,High School,0,1,December,2013,Wednesday,South,Low
12/13/2013,Centennial,Colorado,suburban,High School,2,0,December,2013,Friday,West,Low
12/19/2013,Fresno,California,urban,High School,0,1,December,2013,Thursday,West,Low
1/9/2014,Jackson,Tennessee,rural,High School,0,1,January,2014,Thursday,South,Low
1/13/2014,New Haven,Connecticut,urban,High School,0,1,January,2014,Monday,Northeast,Low
1/14/2014,Roswell,New Mexico,rural,Middle School,0,3,January,2014,Tuesday,West,Medium
1/17/2014,Philadelphia,Pennsylvania,urban,High School,0,2,January,2014,Friday,Northeast,Low
1/20/2014,Chester,Pennsylvania,urban,College,0,1,January,2014,Monday,Northeast,Low
1/21/2014,West Lafayette,Indiana,urban,College,1,0,January,2014,Tuesday,Midwest,Low
1/24/2014,Orangeburg,South Carolina,rural,College,1,0,January,2014,Friday,South,Low
1/25/2014,Los Angeles,California,urban,College,1,0,January,2014,Saturday,West,Low
1/27/2014,Carbondale,Illinois,rural,High School,0,1,January,2014,Monday,Midwest,Low
1/28/2014,Nashville,Tennessee,urban,College,0,1,January,2014,Tuesday,South,Low
1/30/2014,Palm Bay,Florida,suburban,College,0,1,January,2014,Thursday,South,Low
1/31/2014,Des Moines,Iowa,urban,High School,0,1,January,2014,Friday,Midwest,Low
2/10/2014,Salisbury,North Carolina,suburban,High School,0,1,February,2014,Monday,South,Low
2/10/2014,Lyndhurst,Ohio,suburban,High School,0,0,February,2014,Monday,Midwest,Low
2/12/2014,Los Angeles,California,urban,College,0,1,February,2014,Wednesday,West,Low
