Date,City,State,AreaType,School,Fatalities,Wounded,Month,Day of Week,Region,Severity
2/2/1996,Moses Lake,Washington,suburban,MS,3,1,February,Friday,West,Medium
2/8/1996,Palo Alto,California,urban,HS,1,Unknown,February,Thursday,West,Low
2/29/1996,St. Louis,Missouri,urban,HS,1,1,February,Thursday,Midwest,Low
3/11/1996,New London,North Carolina,rural,HS,1,Unknown,March,Monday,South,Low
4/11/1996,Talledega,Alabama,suburban,HS,1,Unknown,April,Thursday,South,Low
6/4/1996,Hemet,California,urban,HS,1,Unknown,June,Tuesday,West,Low
8/15/1996,San Diego,California,urban,C,3,Unknown,August,Thursday,West,Medium
8/15/1996,San Diego,California,urban,C,3,0,August,Thursday,West,Medium
8/26/1996,San Antonio,Texas,urban,C,1,Unknown,August,Monday,South,Low
9/17/1996,State College,Pennsylvania,urban,C,1,Unknown,September,Tuesday,Northeast,Low
9/17/1996,State College,Pennsylvania,suburban,C,1,2,September,Tuesday,Northeast,Medium
9/25/1996,Scottdale,Georgia,suburban,HS,1,Unknown,September,Wednesday,South,Low
9/25/1996,Decatur,Georgia,suburban,HS,1,2,September,Wednesday,South,Medium
10/2/1996,Philadelphia,Pennsylvania,urban,ES,2,Unknown,October,Wednesday,Northeast,Low
10/4/1996,Playa del Rey,California,suburban,HS,1,Unknown,October,Friday,West,Low
10/9/1996,Sherwood,Arkansas,suburban,HS,1,0,October,Wednesday,South,Low
10/13/1996,St. Louis,Missouri,urban,HS,1,Unknown,October,Sunday,Midwest,Low
10/16/1996,West Lafayette,Indiana,suburban,C,1,Unknown,October,Wednesday,Midwest,Low
11/27/1996,Sacramento,California,urban,HS,1,Unknown,November,Wednesday,West,Low
1/11/1997,Brooklyn,New York,urban,HS,1,Unknown,January,Saturday,Northeast,Low
1/27/1997,West Palm Beach,Florida,urban,MS,1,Unknown,January,Monday,South,Low
1/27/1997,West Palm Beach,Florida,urban,MS,1,0,January,Monday,South,Low
1/31/1997,Tulsa,Oklahoma,urban,HS,1,Unknown,January,Friday,South,Low
2/19/1997,Bethel,Alaska,suburban,HS,2,Unknown,February,Wednesday,West,Low
2/19/1997,Bethel,Alaska,rural,HS,2,2,February,Wednesday,West,Medium
2/20/1997,Jacksonville,Florida,urban,HS,1,Unknown,February,Thursday,South,Low
3/18/1997,Detroit,Michigan,urban,HS,1,Unknown,March,Tuesday,Midwest,Low
10/1/1997,Pearl,Mississippi,suburban,HS,3,Unknown,October,Wednesday,South,Medium
10/1/1997,Pearl,Mississippi,suburban,HS,3,7,October,Wednesday,South,High
10/14/1997,Garland,Texas,urban,HS,1,Unknown,October,Tuesday,South,Low
10/15/1997,Palmetto,Florida,suburban,MS,0,1,October,Wednesday,South,Low
10/22/1997,Norwalk,California,urban,HS,2,Unknown,October,Wednesday,West,Low
11/13/1997,Sacramento,California,urban,ES,1,Unknown,November,Thursday,West,Low
12/1/1997,West Paducah,Kentucky,suburban,HS,3,Unknown,December,Monday,South,Medium
12/1/1997,West Paducah,Kentucky,rural,HS,3,5,December,Monday,South,High
12/15/1997,Stamps,Arkansas,rural,HS,2,Unknown,December,Monday,South,Low
12/15/1997,Stamps,Arkansas,rural,HS,0,2,December,Monday,South,Low
2/25/1998,Reed City,Michigan,rural,HS,1,Unknown,February,Wednesday,Midwest,Low
3/1/1998,Philadelphia,Pennsylvania,urban,C,1,3,March,Sunday,Northeast,Medium
3/24/1998,Jonesboro,Arkansas,urban,MS,5,Unknown,March,Tuesday,South,Medium
3/24/1998,Craighead County,Arkansas,rural,MS,5,10,March,Tuesday,South,High
3/25/1998,Coldwater,Michigan,suburban,HS,1,Unknown,March,Wednesday,Midwest,Low
3/30/1998,Chapel Hill,North Carolina,urban,MS,0,Unknown,March,Monday,South,Low
4/24/1998,Edinboro,Pennsylvania,suburban,HS,1,Unknown,April,Friday,Northeast,Low
4/24/1998,Edinboro,Pennsylvania,rural,MS,1,3,April,Friday,Northeast,Medium
4/28/1998,Pomona,California,urban,ES,2,Unknown,April,Tuesday,West,Low
5/1/1998,Buffalo,New York,urban,ES,1,Unknown,May,Friday,Northeast,Low
5/19/1998,Fayetteville,Tennessee,suburban,HS,1,Unknown,May,Tuesday,South,Low
5/19/1998,Fayetteville,Tennessee,rural,HS,1,0,May,Tuesday,South,Low
5/21/1998,Springfield,Oregon,urban,HS,4,Unknown,May,Thursday,West,Medium
5/21/1998,Rialto,California,urban,HS,1,Unknown,May,Thursday,West,Low
5/21/1998,Springfield,Oregon,suburban,HS,4,23,May,Thursday,West,High
5/27/1998,Pasadena,California,urban,MS,0,Unknown,May,Wednesday,West,Low
5/29/1998,Fort Lauderdale,Florida,urban,HS,2,Unknown,May,Friday,South,Low
6/15/1998,Richmond,Virginia,urban,HS,0,Unknown,June,Monday,South,Low
6/15/1998,Richmond,Virginia,urban,HS,0,2,June,Monday,South,Low
9/4/1998,San Bernardino,California,urban,C,2,Unknown,September,Friday,West,Low
9/12/1998,Glendale,California,urban,HS,0,Unknown,September,Saturday,West,Low
12/10/1998,Detroit,Michigan,urban,C,1,Unknown,December,Thursday,Midwest,Low
12/10/1998,Detroit,Michigan,urban,C,1,0,December,Thursday,Midwest,Low
1/8/1999,Carollton,Georgia,suburban,HS,2,Unknown,January,Friday,South,Low
1/8/1999,Carrollton,Georgia,suburban,HS,1,1,January,Friday,South,Low
1/21/1999,North Richland Hills,Texas,urban,HS,1,Unknown,January,Thursday,South,Low
2/11/1999,Elgin,Illinois,urban,HS,0,Unknown,February,Thursday,Midwest,Low
4/16/1999,Notus,Idaho,rural,HS,0,Unknown,April,Friday,West,Low
4/16/1999,Notus,Idaho,rural,HS,0,0,April,Friday,West,Low
4/20/1999,Littleton,Colorado,suburban,HS,15,Unknown,April,Tuesday,West,High
4/20/1999,Littleton,Colorado,suburban,HS,15,21,April,Tuesday,West,High
4/23/1999,Atlanta,Georgia,urban,MS,1,Unknown,April,Friday,South,Low
5/20/1999,Conyers,Georgia,suburban,HS,0,Unknown,May,Thursday,South,Low
5/20/1999,Conyers,Georgia,suburban,HS,0,6,May,Thursday,South,High
8/25/1999,Monticello,Georgia,suburban,HS,1,Unknown,August,Wednesday,South,Low
9/7/1999,Plano,Texas,urban,HS,1,Unknown,September,Tuesday,South,Low
9/9/1999,San Jose,California,urban,HS,1,Unknown,September,Thursday,West,Low
11/19/1999,Deming,New Mexico,suburban,MS,0,Unknown,November,Friday,West,Low
11/19/1999,Deming,New Mexico,rural,MS,1,0,November,Friday,West,Low
12/6/1999,Fort Gibson,Oklahoma,suburban,MS,0,Unknown,December,Monday,South,Low
12/6/1999,Fort Gibson,Oklahoma,rural,MS,0,6,December,Monday,South,High
1/19/2000,New Port Richey,Florida,suburban,HS,0,Unknown,January,Wednesday,South,Low
2/29/2000,Flint,Michigan,urban,ES,1,Unknown,February,Tuesday,Midwest,Low
2/29/2000,Flint,Michigan,urban,ES,1,0,February,Tuesday,Midwest,Low
5/10/2000,Sierra Vista,Arizona,urban,ES,2,Unknown,May,Wednesday,West,Low
5/26/2000,Lake Worth,Florida,suburban,MS,1,Unknown,May,Friday,South,Low
5/26/2000,Lake Worth,Florida,suburban,MS,1,0,May,Friday,South,Low
6/28/2000,Seattle,Washington,urban,C,2,Unknown,June,Wednesday,West,Low
7/26/2000,Canton,Ohio,urban,HS,1,Unknown,July,Wednesday,Midwest,Low
8/28/2000,Fayetteville,Arkansas,urban,C,2,Unknown,August,Monday,South,Low
8/28/2000,Fayetteville,Arkansas,urban,C,2,0,August,Monday,South,Low
9/5/2000,Bidwell,Ohio,suburban,ES,2,Unknown,September,Tuesday,Midwest,Low
9/26/2000,New Orleans,Louisiana,urban,MS,0,Unknown,September,Tuesday,South,Low
9/26/2000,New Orleans,Louisiana,urban,HS,0,2,September,Tuesday,South,Low
10/23/2000,Los Angeles,California,urban,C,1,Unknown,October,Monday,West,Low
10/26/2000,Brooklyn,New York,urban,HS,1,Unknown,October,Thursday,Northeast,Low
10/27/2000,Memphis,Tennessee,urban,HS,1,Unknown,October,Friday,South,Low
12/1/2000,Granada Hills,California,urban,HS,0,Unknown,December,Friday,West,Low
12/1/2000,San Diego,California,urban,HS,0,1,December,Friday,West,Low
1/10/2001,Oxnard,California,urban,HS,1,Unknown,January,Wednesday,West,Low
1/17/2001,Baltimore,Maryland,urban,HS,1,Unknown,January,Wednesday,South,Low
1/29/2001,Arlington,Texas,urban,MS,1,Unknown,January,Monday,South,Low
3/2/2001,San Diego,California,urban,HS,0,Unknown,March,Friday,West,Low
3/5/2001,Santee,California,urban,HS,2,Unknown,March,Monday,West,Low
3/5/2001,Santee,California,suburban,HS,2,13,March,Monday,West,High
3/7/2001,Williamsport,Pennsylvania,urban,HS,0,Unknown,March,Wednesday,Northeast,Low
3/7/2001,Williamsport,Pennsylvania,suburban,HS,0,1,March,Wednesday,Northeast,Low
3/22/2001,El Cajon,California,urban,HS,0,Unknown,March,Thursday,West,Low
3/22/2001,El Cajon,California,suburban,HS,0,5,March,Thursday,West,Medium
3/30/2001,Gary,Indiana,urban,HS,1,Unknown,March,Friday,Midwest,Low
3/30/2001,Gary,Indiana,urban,HS,1,0,March,Friday,Midwest,Low
4/3/2001,Klein,Texas,urban,MS,0,Unknown,April,Tuesday,South,Low
4/25/2001,Cleveland,Ohio,urban,HS,1,Unknown,April,Wednesday,Midwest,Low
5/15/2001,Ennis,Texas,suburban,HS,0,Unknown,May,Tuesday,South,Low
5/16/2001,Parkland,Washington,suburban,C,2,0,May,Wednesday,West,Low
5/17/2001,Pierce County,Washington,urban,C,1,Unknown,May,Thursday,West,Low
10/12/2001,Taylorsville,Utah,urban,HS,0,Unknown,October,Friday,West,Low
11/12/2001,Caro,Michigan,suburban,HS,0,Unknown,November,Monday,Midwest,Low
1/15/2002,New York City,New York,urban,HS,0,Unknown,January,Tuesday,Northeast,Low
1/15/2002,New York City,New York,urban,HS,0,2,January,Tuesday,Northeast,Low
1/16/2002,Gundy,Virginia,rural,C,3,Unknown,January,Wednesday,South,Medium
1/16/2002,Grundy,Virginia,rural,C,3,3,January,Wednesday,South,High
2/20/2002,Milwaukee,Wisconsin,urban,HS,1,0,February,Wednesday,Midwest,Low
6/11/2002,Conception,Missouri,rural,C,3,2,June,Tuesday,Midwest,Medium
7/26/2002,Charlotte,North Carolina,urban,MS,1,Unknown,July,Friday,South,Low
10/4/2002,San Antonio,Texas,urban,MS,1,Unknown,October,Friday,South,Low
10/7/2002,Bowie,Maryland,urban,MS,0,Unknown,October,Monday,South,Low
10/7/2002,Bowie,Maryland,suburban,MS,0,1,October,Monday,South,Low
10/28/2002,Tucson,Arizona,urban,C,4,Unknown,October,Monday,West,Medium
10/28/2002,Tucson,Arizona,urban,C,4,0,October,Monday,West,Medium
10/29/2002,Jersey City,New Jersey,urban,HS,0,1,October,Tuesday,Northeast,Low
11/7/2002,Liberty,Missouri,suburban,ES,1,Unknown,November,Thursday,Midwest,Low
12/16/2002,Chicago,Illinois,urban,HS,1,Unknown,December,Monday,Midwest,Low
3/23/2003,Meridian,Mississippi,suburban,HS,0,Unknown,March,Sunday,South,Low
4/10/2003,Walnut,California,suburban,HS,0,Unknown,April,Thursday,West,Low
4/14/2003,New Orleans,Louisiana,urban,HS,1,Unknown,April,Monday,South,Low
4/14/2003,New Orleans,Louisiana,urban,HS,1,3,April,Monday,South,Medium
4/17/2003,Addison,Texas,suburban,ES,1,Unknown,April,Thursday,South,Low
4/24/2003,Red Lion,Pennsylvania,suburban,MS,1,Unknown,April,Thursday,Northeast,Low
4/24/2003,Red Lion,Pennsylvania,rural,HS,2,0,April,Thursday,Northeast,Low
5/9/2003,Cleveland,Ohio,urban,C,1,Unknown,May,Friday,Midwest,Low
5/9/2003,Cleveland,Ohio,urban,C,1,2,May,Friday,Midwest,Medium
5/13/2003,Johnstown,Pennsylvania,urban,HS,1,Unknown,May,Tuesday,Northeast,Low
6/4/2003,Wellsboro,Pennsylvania,suburban,MS,0,Unknown,June,Wednesday,Northeast,Low
7/15/2003,Dallas,Texas,urban,HS,0,Unknown,July,Tuesday,South,Low
9/24/2003,Cold Spring,Minnesota,suburban,HS,2,Unknown,September,Wednesday,Unknown,Low
9/24/2003,Cold Spring,Minnesota,rural,HS,2,0,September,Wednesday,Unknown,Low
10/30/2003,Washington,District Of Columbia,urban,HS,1,Unknown,October,Thursday,South,Low
11/7/2003,Sugar Land,Texas,urban,HS,1,Unknown,November,Friday,South,Low
1/21/2004,Henderson,Nevada,urban,ES,1,Unknown,January,Wednesday,West,Low
2/2/2004,District of Columbia,District Of Columbia,urban,HS,1,Unknown,February,Monday,South,Low
2/2/2004,Washington,D.C.,urban,HS,1,0,February,Monday,Unknown,Low
2/9/2004,East Greenbush,New York,suburban,HS,0,Unknown,February,Monday,Northeast,Low
2/9/2004,East Greenbush,New York,suburban,HS,0,1,February,Monday,Northeast,Low
2/11/2004,Philadelphia,Pennsylvania,urban,ES,1,Unknown,February,Wednesday,Northeast,Low
3/17/2004,Joyce,Washington,rural,MS,0,Unknown,March,Wednesday,West,Low
5/7/2004,Randallstown,Maryland,suburban,HS,0,Unknown,May,Friday,South,Low
5/7/2004,Randallstown,Maryland,suburban,HS,0,4,May,Friday,South,Medium
5/24/2004,Salt Lake City,Utah,urban,HS,1,Unknown,May,Monday,West,Low
6/1/2004,St Croix,Virgin Islands,urban,HS,1,Unknown,June,Tuesday,Unknown,Low
8/30/2004,Maywood,Illinois,suburban,HS,1,Unknown,August,Monday,Midwest,Low
10/4/2004,Memphis,Tennessee,urban,HS,0,Unknown,October,Monday,South,Low
11/22/2004,Philadelphia,Pennsylvania,urban,HS,1,Unknown,November,Monday,Northeast,Low
12/10/2004,Nine Mile Falls,Washington,suburban,HS,1,Unknown,December,Friday,West,Low
1/6/2005,Philadelphia,Pennsylvania,urban,HS,1,Unknown,January,Thursday,Northeast,Low
